Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T044_001,SE_T044_002,SE_T044_003,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T055_001,SE_T055_002,SE_T055_003,SE_T055_004,SE_T055_005,SE_T055_006,SE_T055_007,SE_T055_008,SE_T055_009,SE_T055_010,SE_T055_011,SE_T055_012,SE_T055_013,SE_T055_014,SE_T055_015,SE_T055_016,SE_T055_017,SE_T058_001,SE_T058_002,SE_T058_003,SE_T058_004,SE_T058_005,SE_T058_006,SE_T058_007,SE_T058_008,SE_T058_009,SE_T063_001,SE_T063_002,SE_T063_003,SE_T063_004,SE_T063_005,SE_T063_006,SE_T063_007,SE_T063_008,SE_T063_009,SE_T063_010,SE_T063_011,SE_T063_012,SE_T063_013,SE_T063_014,SE_T063_015,SE_T063_016,SE_T063_017,SE_T063_018,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T071_001,SE_T071_002,SE_T071_003,SE_T071_004
"Autauga County","Autauga County, Alabama","1539582278","25775735","050","00","3","6","01001","01","001",54571,54571,91.80297,594.436088506974,604.3882,594.4361,9.952067,54571,26569,28002,54571,3579,3991,4290,2753,4617,6487,8243,8205,5860,4013,1982,551,37,35.9,37.9,54571,42855,9643,232,474,32,466,869,54571,53261,42154,9595,217,467,22,45,761,1310,701,48,15,7,10,421,108,20221,15064,11367,3697,934,2763,5157,4441,716,54571,54116,48046,15064,11367,17357,1538,461,387,926,946,6070,4441,716,913,455,362,93,22135,20221,15248,4973,22135,20221,1914,1914,459,634,821
"Baldwin County","Baldwin County, Alabama","4117521611","1133190229","050","00","3","6","01003","01","003",182265,182265,114.6476,1589.78407004202,2027.311,1589.784,437.5272,182265,89196,93069,182265,11158,11599,11926,7215,13834,20956,23553,26921,24535,17803,9532,3233,41.1,40.1,42.2,182265,156153,17105,1216,1348,89,3631,2723,182265,174273,152200,16966,1146,1340,79,245,2297,7992,3953,139,70,8,10,3386,426,73180,51151,39913,11238,3094,8144,22029,18372,3657,182265,179958,153354,51151,39913,48777,4449,1352,1420,2936,3356,26604,18372,3657,4575,2307,1744,563,104061,73180,53071,20109,104061,73180,30881,30881,8010,20122,2749
"Barbour County","Barbour County, Alabama","2291818968","50864716","050","00","3","6","01005","01","005",27457,27457,31.0292,884.876303673994,904.5153,884.8763,19.63898,27457,14576,12881,27457,1702,1642,1599,1072,2453,3818,3628,4018,3616,2238,1228,443,39,37.2,41.6,27457,13180,12875,114,107,29,894,258,27457,26070,12837,12820,60,107,24,13,209,1387,343,55,54,0,5,881,49,9820,6721,4293,2428,480,1948,3099,2797,302,27457,24264,20785,6721,4293,7054,1073,279,192,609,564,3479,2797,302,380,3193,3193,0,11829,9820,6556,3264,11829,9820,2009,2009,328,978,703
"Bibb County","Bibb County, Alabama","1612480789","9289057","050","00","3","6","01007","01","007",22915,22915,36.80638,622.582331655591,626.1689,622.5823,3.586525,22915,12301,10614,22915,1378,1405,1440,978,2056,3249,3382,3386,2735,1723,904,279,37.8,36.5,39.5,22915,17381,5047,64,22,13,185,203,22915,22509,17191,5024,64,22,7,20,181,406,190,23,0,0,6,165,22,7953,5748,4172,1576,433,1143,2205,1951,254,22915,20691,18168,5748,4172,6151,806,267,168,473,383,2523,1951,254,318,2224,2194,30,8981,7953,6011,1942,8981,7953,1028,1028,159,271,598
"Blount County","Blount County, Alabama","1669961855","15157440","050","00","3","6","01009","01","009",57322,57322,88.90221,644.775904753227,650.6282,644.7759,5.852321,57322,28362,28960,57322,3616,3880,4084,2526,4614,6877,7925,8085,7276,5079,2552,808,39,38,40,57322,53068,761,307,117,38,2347,684,57322,52696,50952,724,285,115,18,35,567,4626,2116,37,22,2,20,2312,117,21578,16175,13077,3098,1014,2084,5403,4780,623,57322,56833,50635,16175,13077,16711,1587,452,486,1170,977,6198,4780,623,795,489,409,80,23887,21578,17384,4194,23887,21578,2309,2309,524,770,1015
"Bullock County","Bullock County, Alabama","1613056905","6056528","050","00","3","6","01011","01","011",10914,10914,17.52395,622.804775929464,625.1432,622.8047,2.338439,10914,5912,5002,10914,742,570,675,443,994,1555,1362,1697,1407,835,426,208,38.5,37.7,39.7,10914,2507,7666,23,20,43,569,86,10914,10137,2392,7637,20,20,4,5,59,777,115,29,3,0,39,564,27,3745,2387,1178,1209,206,1003,1358,1230,128,10914,9224,7667,2387,1178,2850,480,180,86,280,226,1557,1230,128,199,1690,1642,48,4493,3745,2576,1169,4493,3745,748,748,102,288,358
"Butler County","Butler County, Alabama","2011976894","2726814","050","00","3","6","01013","01","013",20947,20947,26.96476,776.828630866243,777.8815,776.8286,1.052829,20947,9838,11109,20947,1372,1351,1465,868,1693,2527,2377,2980,2825,1829,1148,512,40.1,37.7,41.9,20947,11399,9095,60,177,7,48,161,20947,20756,11324,9047,59,174,7,3,142,191,75,48,1,3,0,45,19,8491,5739,3678,2061,381,1680,2752,2526,226,20947,20614,17582,5739,3678,6181,848,193,160,413,370,3032,2526,226,280,333,305,28,9964,8491,5967,2524,9964,8491,1473,1473,280,475,718
"Calhoun County","Calhoun County, Alabama","1569189995","16624267","050","00","3","6","01015","01","015",118572,118572,195.7061,605.867678151405,612.2863,605.8677,6.418665,118572,57176,61396,118572,7204,7521,7719,4682,12947,14787,14627,16986,15109,9437,5749,1804,38.2,36.5,39.6,118572,88840,24382,540,845,96,1894,1975,118572,114679,87285,24177,480,830,94,109,1704,3893,1555,205,60,15,2,1785,271,47331,31609,22168,9441,2245,7196,15722,13129,2593,118572,115653,96343,31609,22168,31790,4073,1122,936,2244,2401,19310,13129,2593,3588,2919,1263,1656,53289,47331,32552,14779,53289,47331,5958,5958,1877,1521,2560
"Chambers County","Chambers County, Alabama","1545009282","17048142","050","00","3","6","01017","01","017",34215,34215,57.35658,596.531443388927,603.1138,596.5314,6.582325,34215,16363,17852,34215,1953,2045,2237,1468,2755,3801,4432,5049,4769,3108,1827,771,41.5,39.8,43.4,34215,20112,13257,69,168,10,214,385,34215,33679,19893,13206,57,166,7,23,327,536,219,51,12,2,3,191,58,13933,9391,5931,3460,798,2662,4542,4053,489,34215,33757,28605,9391,5931,9448,1584,462,339,699,751,5152,4053,489,610,458,344,114,17004,13933,9843,4090,17004,13933,3071,3071,1353,652,1066
"Cherokee County","Cherokee County, Alabama","1434075952","119858898","050","00","3","6","01019","01","019",25989,25989,46.93699,553.699825636258,599.9776,553.6998,46.27778,25989,12888,13101,25989,1390,1524,1630,1022,1906,2543,3380,4020,3923,2909,1363,379,43.9,43.1,44.9,25989,24081,1208,135,54,1,123,387,25989,25669,23929,1206,122,49,1,15,347,320,152,2,13,5,0,108,40,10626,7493,5874,1619,515,1104,3133,2764,369,25989,25699,22134,7493,5874,6600,851,192,177,496,451,3565,2764,369,432,290,283,7,16267,10626,8345,2281,16267,10626,5641,5641,358,4412,871
"Chilton County","Chilton County, Alabama","1794483586","20586383","050","00","3","6","01021","01","021",43643,43643,62.99018,692.854014767636,700.8025,692.854,7.948448,43643,21608,22035,43643,2996,3075,2998,1891,3665,5696,5910,6197,5294,3445,1859,617,37.6,36.7,38.5,43643,36713,4230,155,130,55,1854,506,43643,40223,35395,4171,134,125,11,34,353,3420,1318,59,21,5,44,1820,153,16558,12092,9245,2847,854,1993,4466,3895,571,43643,43250,38054,12092,9245,12528,1442,424,368,959,996,5196,3895,571,730,393,312,81,19278,16558,12678,3880,19278,16558,2720,2720,526,1166,1028
"Choctaw County","Choctaw County, Alabama","2365954748","19059251","050","00","3","6","01023","01","023",13859,13859,15.17131,913.500300387492,920.8591,913.5003,7.358819,13859,6688,7171,13859,749,864,954,574,1000,1393,1714,2129,1963,1459,777,283,43.4,41.5,44.8,13859,7731,6012,18,12,0,28,58,13859,13786,7700,5990,18,12,0,10,56,73,31,22,0,0,0,18,2,5866,3873,2734,1139,215,924,1993,1862,131,13859,13730,11594,3873,2734,3805,565,126,93,236,162,2136,1862,131,143,129,129,0,7269,5866,4866,1000,7269,5866,1403,1403,110,494,799
"Clarke County","Clarke County, Alabama","3207609488","36542656","050","00","3","6","01025","01","025",25833,25833,20.85888,1238.46504308128,1252.574,1238.465,14.1092,25833,12214,13619,25833,1468,1701,1945,1275,1986,2874,3300,3874,3236,2358,1340,476,40.2,39.3,41.1,25833,14070,11336,103,77,4,67,176,25833,25562,13943,11280,96,74,4,9,156,271,127,56,7,3,0,58,20,10337,7204,4989,2215,411,1804,3133,2905,228,25833,25553,22126,7204,4989,7757,1044,240,136,383,373,3427,2905,228,294,280,255,25,12638,10337,7996,2341,12638,10337,2301,2301,458,885,958
"Clay County","Clay County, Alabama","1564252280","5284628","050","00","3","6","01027","01","027",13932,13932,23.06771,603.961210631092,606.0016,603.9612,2.040406,13932,6833,7099,13932,801,783,990,570,1089,1480,1830,2120,1820,1384,781,284,42,40.6,43.3,13932,11380,2066,55,24,0,172,235,13932,13533,11186,2048,55,23,0,5,216,399,194,18,0,1,0,167,19,5670,3978,2988,990,267,723,1692,1543,149,13932,13677,11801,3978,2988,3765,408,105,118,235,204,1876,1543,149,184,255,255,0,6776,5670,4266,1404,6776,5670,1106,1106,208,437,461
"Cleburne County","Cleburne County, Alabama","1450652767","2365681","050","00","3","6","01029","01","029",14972,14972,26.73093,560.100201236454,561.0136,560.1002,0.9133946,14972,7453,7519,14972,938,942,997,674,1175,1623,2062,2149,2051,1385,737,239,40.6,39.5,41.5,14972,14079,498,51,23,10,151,160,14972,14665,13956,494,50,23,1,4,137,307,123,4,1,0,9,147,23,5891,4196,3312,884,277,607,1695,1480,215,14972,14794,12819,4196,3312,4169,432,103,86,254,267,1975,1480,215,280,178,168,10,6718,5891,4562,1329,6718,5891,827,827,165,263,399
"Coffee County","Coffee County, Alabama","1758528786","3944730","050","00","3","6","01031","01","031",49948,49948,73.56418,678.971782108643,680.4949,678.9718,1.523069,49948,24684,25264,49948,3303,3187,3457,2137,4306,6899,6612,6803,6034,4025,2361,824,37.6,35.7,39.3,49948,37330,8359,645,644,100,1623,1247,49948,46768,36134,8257,602,629,51,52,1043,3180,1196,102,43,15,49,1571,204,19849,13837,10448,3389,836,2553,6012,5051,961,49948,49348,42051,13837,10448,14061,1286,326,365,843,885,7297,5051,961,1285,600,566,34,22330,19849,13394,6455,22330,19849,2481,2481,764,700,1017
"Colbert County","Colbert County, Alabama","1534877333","76430813","050","00","3","6","01033","01","033",54428,54428,91.84309,592.61946850719,622.1296,592.6194,29.51011,54428,26159,28269,54428,3134,3103,3616,2181,4427,6091,6924,8259,7230,5254,3056,1153,41.8,40.4,43.3,54428,43789,8768,267,229,20,510,845,54428,53335,43334,8702,262,224,14,35,764,1093,455,66,5,5,6,475,81,22773,15442,11366,4076,951,3125,7331,6570,761,54428,53954,45705,15442,11366,14865,1576,420,348,804,884,8249,6570,761,918,474,359,115,25758,22773,16573,6200,25758,22773,2985,2985,733,1111,1141
"Conecuh County","Conecuh County, Alabama","2201894769","6644940","050","00","3","6","01035","01","035",13228,13228,15.55949,850.156315782158,852.7219,850.1563,2.565626,13228,6412,6816,13228,776,790,879,597,1019,1331,1499,2010,1965,1343,768,251,43,41.7,44.4,13228,6788,6149,44,17,1,97,132,13228,13067,6764,6122,44,17,0,6,114,161,24,27,0,0,1,91,18,5625,3717,2353,1364,287,1077,1908,1738,170,13228,13183,11074,3717,2353,3733,531,151,115,270,204,2109,1738,170,201,45,45,0,7093,5625,4238,1387,7093,5625,1468,1468,206,557,705
"Coosa County","Coosa County, Alabama","1685891075","39946646","050","00","3","6","01037","01","037",11539,11539,17.72705,650.926209696724,666.3497,650.9262,15.42349,11539,5727,5812,11539,561,618,707,484,852,1149,1533,1868,1797,1160,619,191,44.2,43.5,45,11539,7648,3582,40,16,15,135,103,11539,11309,7604,3556,40,14,0,7,88,230,44,26,0,2,15,128,15,4794,3293,2373,920,245,675,1501,1336,165,11539,11415,9737,3293,2373,2908,446,137,90,259,231,1678,1336,165,177,124,124,0,6478,4794,3846,948,6478,4794,1684,1684,190,983,511
